,Data Points (min. 1000 MP),,,Independent Variables,,,Dependent Variables,,,,,,
,Player Name,Defensive Rating/DRtng,Minutes Played/MP,Height (inches),Weight (lbs),Wingspan (inches),Defensive Rebounds (p36),Steals (p36),Blocks (p36),Deflections (p36),Contested Shots (p36) ,DWS (per 48 mins),DBPM (per 100 possessions)
1,Rudy Gobert,104,2593,85,258,92.5,9.7,0.7,2.2,1.7,11.6,0.1074,1.7
2,Victor Wembanyama,106,2106,87,235,96,10.2,1.5,3.6,3.5,11,0.1003,3.3
3,Naz Reid,107,1964,81,264,87.25,6.4,1.2,1.3,1.9,8,0.0929,1.1
4,Andre Drummond,107,1351,83,279,90.25,11.8,1.9,1.3,3.3,9.6,0.0924,-0.7
5,Jusuf Nurkić,108,2078,84,290,86,10.6,1.4,1.4,2.9,9.8,0.0878,2.1
6,Nikola Jokić,108,2737,83,284,87,9.9,1.4,0.9,3.1,7.3,0.0894,4.2
7,Chet Holmgren,108,2413,85,208,90,7.7,0.8,2.8,1.4,14.2,0.0875,1.5
8,Isaiah Hartenstein,108,1896,84,250,86.25,7.3,1.7,1.6,2.8,10.5,0.0886,2.8
9,Karl-Anthony Towns,109,2026,84,248,87.5,7.5,0.8,0.7,1.5,8.2,0.0853,0.9
10,Amen Thompson,109,1388,79,200,84,6.8,2,1,3.6,5.9,0.0830,1.9
11,Kristaps Porziņģis,109,1690,86,240,90,6.6,0.9,2.4,1.4,14.2,0.0852,1.6
12,Evan Mobley,109,1532,83,215,88,8.4,1.1,1.7,2.6,12.1,0.0846,2
13,Joel Embiid,109,1309,84,280,89,9.2,1.3,1.8,1.6,13,0.0843,3.1
14,Anthony Davis,109,2700,82,253,89.5,9.6,1.2,2.4,2.3,11.6,0.0836,1.7
15,Kyle Anderson,109,1782,81,230,86.75,8.6,1.4,0.9,3.2,5.8,0.0835,2.7
16,Bam Adebayo,109,2416,81,255,86.75,6.8,1.2,1,2.3,7.1,0.0854,1.7
17,Jonas Valančiūnas,110,1925,83,265,89,10,0.6,1.3,1,9.8,0.0773,0.5
18,Jalen Suggs,110,2025,77,205,77.5,3.2,1.9,0.8,3.4,5.2,0.0759,1.6
19,Paul Reed,110,1590,81,210,85.5,6.7,1.5,1.9,3.8,12.1,0.0785,1
20,Shai Gilgeous-Alexander,110,2553,78,195,83.5,4.9,2.1,0.9,3.7,6.4,0.0790,2.3
21,Anthony Edwards,110,2770,76,225,81,4.9,1.3,0.5,2.1,3.1,0.0814,0.5
22,Dyson Daniels,110,1358,79,199,82.5,4.6,2.3,0.7,4.5,8.2,0.0778,3.3
23,Jarrett Allen,110,2442,71,243,89.25,8.4,0.8,1.2,1.8,10.9,0.0767,0.9
24,Peyton Watson,111,1488,79,200,84.5,4.9,1,2.1,2,10.3,0.0710,0.8
25,Dean Wade,111,1108,81,228,82,5.9,1.3,0.8,2.5,7.1,0.0693,1.8
26,Jayson Tatum,111,2645,80,210,83,7.3,1,0.6,2,3.7,0.0744,0.6
27,Alperen Sengun,111,2046,83,243,84.5,7.1,1.3,0.8,2.6,10.2,0.0727,1.7
28,Larry Nance Jr.,111,1216,80,245,85.5,6.3,1.8,0.6,3.2,5.3,0.0750,2.2
29,Donovan Mitchell,111,1942,75,215,82,4.3,1.9,0.6,3.1,3,0.0717,1.2
30,Al Horford,111,1740,81,240,84.75,6.8,0.3,1.3,1.3,10.9,0.0745,2
31,Mike Conley,111,2193,72,175,77.75,3,1.4,0.3,2.8,3.2,0.0722,1.4
32,Nic Claxton,111,2116,83,215,86.5,8.7,0.8,2.5,1.9,13.1,0.0726,1.5
33,Wendell Carter Jr.,111,1406,82,270,88.5,6.9,0.9,0.7,1.5,9.2,0.0717,0.4
34,Cole Anthony,111,1817,76,185,76.5,4.9,1.3,0.7,2.5,4.1,0.0713,0.7
35,Nickeil Alexander-Walker,111,1921,77,205,81.5,2.5,1.2,0.8,2.9,4.5,0.0700,1.3
36,Derrick White,112,2381,76,190,79.5,3.9,1.1,1.3,2.3,7.3,0.0665,1.4
37,Moritz Wagner,112,1415,83,245,84,5.9,1,0.5,2.4,8.3,0.0678,0.3
38,Franz Wagner,112,2337,82,220,83.5,4.7,1.2,0.5,2.2,5.3,0.0657,0.3
39,Domantas Sabonis,112,2928,82,240,83,10.2,0.9,0.6,2,7.9,0.0656,2.4
40,Jaden McDaniels,112,2105,81,185,83,2.9,1.1,0.7,2.4,6.4,0.0707,0.7
41,Dereck Lively II,112,1294,85,230,91,6.8,1,2.1,1.9,14.6,0.0668,0.8
42,John Konchar,112,1173,77,210,80,5.7,1.6,1.6,3.1,6.3,0.0696,2.2
43,Trayce Jackson-Davis,112,1130,81,245,85,6.6,0.9,2.4,1.6,13.5,0.0680,1.2
44,Haywood Highsmith,112,1366,77,220,83.5,3.8,1.4,0.8,2.9,8.5,0.0668,1.1
45,Draymond Green,112,1490,78,230,85,7.8,1.3,1.1,2.8,11.2,0.0709,3
46,Josh Giddey,112,2011,80,216,79.5,7.2,0.9,0.8,1.6,5.7,0.0692,0.4
47,Daniel Gafford,112,1815,82,265,86.5,7.3,1.3,3,2.3,13,0.0661,3.4
48,Jaylen Brown,112,2343,78,223,83.75,4.7,1.3,0.6,1.9,4.5,0.0656,-0.1
49,Paolo Banchero,112,2799,82,250,84.5,6.1,0.9,0.6,1.4,6.1,0.0686,0
50,Giannis Antetokounmpo,112,2567,83,243,87,9,1.2,1.1,2.2,6.6,0.0692,2.4
Summary Statistics,Mean,110.2,,80.66,231.48,85.215,6.82,1.246,1.276,2.414,8.508,0.0770,1.536
,Median,111,,82,230,85,6.8,1.3,1.15,2.3,8.25,0.07355,1.45
,Mode,112,,81,240,83.5,6.8,1.3,0.8,1.9,11.6,NA,1.7
,Standard Deviation,1.81,,3.39,,,,,,,,,